3.106294311780541939e+00,6.570700337302103122e+00,6.079182630906768692e-01,6.500000000000000222e-01,5.000000000000000000e-01,8.000000000000000444e-01
6.256155973788835034e-02,3.676195619497990563e-01,6.377551020408163129e-01,7.249999999999999778e-01,5.000000000000000000e-01,4.000000000000000222e-01
8.547390445694467154e-01,7.582099302169678978e+00,6.169665809768637432e-01,7.500000000000000000e-01,1.250000000000000000e-01,4.000000000000000222e-01
3.173657256958117845e-01,4.335495131213562559e+00,6.437659033078880766e-01,6.202531645569620000e-01,3.750000000000000000e-01,4.000000000000000222e-01
4.559363258906023120e+00,4.612563458224538948e-02,6.530612244897958663e-01,6.750000000000000444e-01,5.000000000000000000e-01,5.999999999999999778e-01
1.259850350024672494e+00,9.218228560037626806e+00,6.108247422680412875e-01,7.088607594936708889e-01,6.250000000000000000e-01,2.000000000000000111e-01
0.000000000000000000e+00,4.420032611668628597e+00,6.372924648786717494e-01,7.594936708860760000e-01,6.250000000000000000e-01,5.999999999999999778e-01
0.000000000000000000e+00,7.313248807480640323e+00,6.112531969309462632e-01,6.125000000000000444e-01,5.000000000000000000e-01,4.000000000000000222e-01
3.377607834042439361e+00,6.357545570088388942e+00,6.487179487179487447e-01,5.999999999999999778e-01,6.250000000000000000e-01,5.999999999999999778e-01
9.440287024032483210e-01,4.667860341829066506e+00,6.230769230769230838e-01,7.125000000000000222e-01,6.250000000000000000e-01,1.000000000000000000e+00
